,screen_name,location,description,listed_count,friends_count,followers_count,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,name,bot
0,0,0,0,0.0010177718625225085,0.0011946543504852926,2.4510660731068627e-05,0.011909152426740384,1,0.0011000504851689267,1,0,1,b'Princess of Alderaan',1
1,1,0,1,7.829014327096219e-05,2.8580247619265374e-05,2.410884662072324e-06,0.0,1,0.01086920369946581,1,0,1,b'\xe6\xb8\x85\xe6\xb0\xb4\xe5\xba\xb7\xe5\xb9\xb3',1
2,0,0,0,0.0,0.0010117407657219942,2.2099776068996306e-06,8.860152461073475e-06,1,0.0005837813044037265,1,1,1,b'Martine',1
3,0,0,0,0.008220465043451029,0.01723388931441702,0.005989842942918689,0.024791814105141214,1,0.0016031647300780907,0,0,0,b'ReviewDork',1
4,0,0,0,0.00023487042981288657,0.03714288980599728,0.0012872115024914483,0.033241076995832404,1,0.006322063607341546,1,0,0,b'Julian Carden',1
5,1,0,1,0.0,2.28641980954123e-05,2.410884662072324e-06,7.75263340343929e-06,1,0.004541431346375418,1,0,0,b'Advice Bot 3000',1
6,0,0,0,0.0006263211461676975,0.0074708767276759685,0.00018382995548301472,0.028160887078464404,1,0.016476433056517078,1,0,0,b'Captain Deadpool',1
7,0,0,0,7.829014327096219e-05,0.011037691630560287,0.0011941915359464912,0.004385775468231369,1,0.0010747334388044793,1,0,0,b'Bette',1
8,0,0,0,0.0,0.01214088918866393,4.038231808971143e-05,0.0003610512127887441,1,4.293969628479791e-05,1,0,0,b'Todd Ironwood',1
9,0,0,0,0.0,1.143209904770615e-05,2.2099776068996306e-06,7.75263340343929e-06,1,0.00020824511666442454,1,0,0,b'Steven Arbelonis',1
10,0,0,0,0.024504814843811163,0.03893772935648714,0.010007180418151872,0.07801918001504012,1,0.01838935929505429,0,0,0,b'Lucie Bee',1
11,0,0,0,7.829014327096219e-05,0.0008859876761972265,1.9287077296578592e-05,0.027571686939803018,1,0.0008585457193590518,0,0,1,b'Sarah Peters',1
12,1,0,1,0.0,0.0,6.02721165518081e-07,0.0,1,0.0012494706999865472,1,0,0,b'Ruebot',1
13,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
14,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
15,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
16,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
17,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
18,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
19,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
20,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
21,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
22,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
23,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
24,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
25,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
26,0,0,0,0.0,5.716049523853075e-06,0.0,0.0,1,3.226682379782502e-06,1,1,0,b'elena',1
27,0,0,0,7.829014327096219e-05,0.0013890000342962972,1.426440091726125e-05,0.0022526937632279306,1,0.0025699284123283095,1,0,0,b'Arvu And the Box Crew',1
28,0,0,0,0.00023487042981288657,0.002372160552399026,0.00010708346040704573,0.004483237145303178,1,0.0005582160517023728,1,0,0,b'TammieLuvsGwen|GXVE',1
29,0,0,0,0.0018006732952321302,0.005578864335280601,0.00021235875731753722,0.05721997211267013,1,0.0077636460120936055,1,0,1,b'vance',1
30,0,0,0,0.0054020198856963905,0.023515827741131548,0.00027443903736589957,0.10424744633793286,1,0.014370650494203637,1,0,0,b'Darren Kacer',1
31,0,0,0,0.002192124011586941,0.0011946543504852926,0.0003632399557522302,0.005829980319386346,1,0.004391762925220891,1,0,0,b'Valeria Nu\xc3\xb1ez Leroux',1
32,0,0,1,0.0003914507163548109,0.005367370502898037,0.00022722587940031654,0.1774954342526849,1,0.01595197306663397,1,0,0,b'VioletFemme \xf0\x9f\x8c\xbb\xf0\x9f\x8c\xbb\xf0\x9f\x8c\xbb \xf0\x9f\x87\xba\xf0\x9f\x87\xa6',1
33,0,0,0,0.0003914507163548109,0.04799766785179427,0.0018933480879474653,0.024500536592983423,1,0.0029821991379297506,1,0,0,b'Matt Gaetz\xe2\x80\x99 Unlucky Year \xf0\x9f\x86\x98',1
34,0,0,0,7.829014327096219e-05,0.001080333360008231,7.835375151735054e-06,0.026985809358314534,1,0.0006483149519993765,1,0,0,b'Dustin Echoez',1
35,0,0,0,0.0,8.574074285779613e-05,6.02721165518081e-07,0.0001904932779130797,1,9.43184080244116e-06,1,0,0,b'Zelixleo',1
36,0,0,0,0.0043059578799029205,0.008436889097207138,0.0008500377504356669,0.0457726551329632,1,0.006348373479053619,1,0,0,b'kate',1
